neighborhood|city|type|year|pricePerSqm|price|size|address
Kivikko|Helsinki|K|1996|350|19410|55.5|Kivikonkaari 7
Katajanokka|Helsinki|K|1906|7450|298000|40|Linnankatu 5
Herttoniemenranta|Helsinki|K|2019|6208|388000|62.5|Niittaajankatu 10 B
Malmi|Helsinki|K|1986|3303|109000|33|Vilppulantie 20
Pohjois-Pasila|Helsinki|K|2023|5181|243500|47|Metsäläntie 8 a A36
Oulunkylä|Helsinki|K|1956|3882|198000|51|Kivalterintie 21
Vuosaari|Helsinki|K|1991|2445|114900|47|Prammikuja 2 D
Punavuori|Helsinki|K|1928|7906|419000|53|Punavuorenkatu 19 A
Käpylä|Helsinki|K|2021|4532|179000|39.5|Koskelantie 64a
Etu-Töölö|Helsinki|K|1924|8333|260000|31.2|Tunturikatu 15
Pihlajisto|Helsinki|K|1971|2537|189000|74.5|Salpausseläntie 9 A
Latokartano|Helsinki|K|2000|449|24931|55.5|Versokuja 3 A 04
Pikku|Helsinki|K|1997|357|27157|76|Paciuksenkaari 16
Ruskeasuo|Helsinki|K|1996|377|28429|75.5|Tilkankatu 27
Pikku|Helsinki|K|1994|201|21556|107|Punamäenpolku 1
Kallio|Helsinki|K|1928|4774|148000|31|Hämeentie 37
Koskela|Helsinki|K|1972|2478|142000|57.3|Juhana Herttuan tie 12 F
Kannelmäki|Helsinki|K|1976|2562|155000|60.5|Halsuantie 5-7 A
Oulunkylä|Helsinki|K|1962|4650|279000|60|Mäkitorpantie 32 C
Vuosaari|Helsinki|K|2004|3882|198000|51|Rajapaadenraitti 3
Kluuvi|Helsinki|K|2012|10921|415000|38|Mikonkatu 11
Alppiharju|Helsinki|K|1962|5559|378000|68|Kirstinkatu 15 B
Kalasatama|Helsinki|K|2012|559|42231|75.5|LEONKATU 16
Kuninkaantammi|Helsinki|K|2019|3808|238000|62.5|Kuninkaantammenkierto 10
Lauttasaari|Helsinki|K|1977|5473|498000|91|Melkonkatu 7 B
Siltasaari|Helsinki|K|1912|10892|1148000|105.4|Siltasaarenkärki 1
Munkkiniemi|Helsinki|K|1937|6139|485000|79|Kadetintie 20
Sompasaari|Helsinki|K|2021|8505|455000|53.5|Kaljaasi Fortunan katu 1
Pikku|Helsinki|K|1997|375|33788|90|Paciuksenkaari 16
Oulunkylä|Helsinki|K|2024|6020|298000|49.5|Mestarintie 19
Punavuori|Helsinki|K|1963|7308|285000|39|Iso Roobertinkatu 52
Puotila|Helsinki|K|1962|3431|175000|51|Rusthollinpolku 6 B
Pasila|Helsinki|K|2022|659|64567|98|Lavakatu 7 B
Pitäjänmäki|Helsinki|K|2015|5314|449000|84.5|Kutomotie 10
Meilahti|Helsinki|K|1945|6100|244000|40|Kuusitie 16 A
Jätkäsaari|Helsinki|K|2021|6761|351578|52|Azorienkuja 1
Merihaka, , Hakaniemi|Helsinki|K|1985|5866|525000|89.5|Hakaniemenranta 26 A
